#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
0	0	1	1	0	0	0	0	
0	0	0	0	1	0	2	1	
0	0	0	1	0	1	0	2	
0	0	0	0	0	1	0	1	
0	0	0	0	1	0	1	2	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	
1	0	2	0	0	0	0	0	
0	0	0	1	0	0	0	0	
0	0	0	1	0	0	0	0	
0	0	0	1	0	0	0	1	
0	0	0	0	0	0	0	0	
0	1	1	0	0	0	0	1	
0	0	0	0	0	1	1	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	1	2	
0	0	0	0	0	1	0	0	
0	0	1	0	0	0	0	0	
0	0	0	1	0	0	0	0	
0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	1	
0	0	2	0	2	1	0	4	
0	0	0	0	0	1	0	2	
0	0	0	0	0	0	1	1	
0	0	1	0	1	0	1	4	
0	0	0	2	0	0	1	3	
0	0	2	3	1	0	1	0	
0	0	2	1	1	0	0	3	
0	0	1	2	2	0	0	3	
0	0	0	3	1	1	0	3	
0	0	0	2	3	0	4	2	
0	0	2	2	3	0	3	4	
0	0	3	1	0	2	2	3	
0	0	2	0	3	0	1	1	
0	0	2	2	1	0	0	1	
0	0	0	0	1	0	0	0	
0	0	2	1	2	1	0	0	
0	0	1	0	1	0	2	0	
0	0	1	1	0	0	4	0	
0	0	0	1	2	0	3	4	
0	0	0	2	4	1	3	5	
0	0	1	1	6	2	8	10	
0	0	0	1	4	9	14	28	
0	0	0	2	16	5	15	29	
0	0	0	1	15	5	16	22	
0	0	1	0	34	31	40	25	
0	0	0	0	52	29	41	25	
0	0	0	0	21	17	16	14	
0	0	1	1	11	4	7	11	
0	0	1	0	2	6	2	4	
0	0	0	0	4	12	8	16	
0	0	0	0	14	15	14	17	
0	0	0	0	32	25	32	36	
0	0	0	2	54	57	59	89	
0	0	1	0	145	153	127	188	
0	0	0	0	334	299	347	431	
0	0	2	0	664	572	681	807	
0	0	0	1	1496	1225	1497	1894	
0	0	0	2	3735	3263	3973	4313	
0	0	0	0	9150	7569	9781	10125	
0	0	0	0	12429	10241	13317	13770	
0	0	0	0	5811	5021	6008	6613	
0	0	0	0	2279	1899	2295	2742	
0	0	0	0	907	783	958	1205	
0	0	1	0	448	421	472	601	
0	0	0	0	224	192	251	263	
0	0	0	0	92	79	93	115	
0	0	0	0	51	24	45	56	
0	0	0	0	14	11	20	21	
0	0	0	0	14	12	10	11	
0	0	1	1	4	9	10	9	
0	0	0	0	6	6	5	12	
0	0	1	0	16	9	7	11	
0	0	0	0	36	24	36	36	
0	0	0	0	56	52	43	53	
0	0	0	0	19	11	9	19	
0	0	0	0	9	10	13	16	
0	0	0	0	13	7	9	13	
0	0	0	0	7	3	11	22	
0	0	0	0	5	2	8	8	
0	0	0	0	2	1	2	6	
0	0	0	0	2	1	2	2	
0	0	0	1	0	1	5	0	
0	0	1	0	0	1	0	1	
1	0	0	0	0	0	0	0	
0	0	0	0	1	0	1	0	
0	0	0	1	4	1	2	2	
0	0	0	0	2	1	1	1	
0	0	0	0	5	3	2	2	
0	0	0	0	3	4	8	5	
0	0	0	0	1	0	1	3	
0	0	0	0	1	0	3	3	
0	0	0	0	1	0	1	4	
0	0	0	0	4	1	3	1	
0	0	0	0	3	0	0	4	
0	0	0	0	0	0	2	1	
0	0	0	0	3	1	2	0	
0	0	0	0	2	1	5	0	
0	0	0	0	2	0	0	2	
0	0	0	2	0	0	0	0	
0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	1	0	0	1	0	
0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	
0	0	0	1	0	0	2	1	
0	0	0	0	1	0	0	3	
0	0	0	0	1	0	0	0	
0	0	0	0	2	0	2	0	
1	0	0	1	1	2	4	0	
0	0	0	0	3	1	1	1	
0	0	0	0	0	2	1	1	
1	0	0	0	0	1	1	1	
0	0	0	0	1	0	2	2	
0	0	0	0	5	1	1	2	
0	0	0	0	1	1	5	4	
0	0	0	1	3	6	5	3	
0	0	0	0	2	2	0	2	
0	0	0	0	2	1	2	1	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	1	
0	0	1	1	1	1	0	0	
0	0	1	1	0	1	0	1	
0	0	0	2	2	0	2	3	
0	0	0	0	6	1	2	3	
